,V3,V2,V4,V1,x
NMB486,0.011584135,0.123583523,0.986045697,0.108261026,2
NMB487,0.160446444,0.241337261,0.829377356,0.475933154,2
NMB490,0.092630222,0.066932176,0.169539787,0.978160764,3
NMB491,0.348402835,0.202755531,0.256412892,0.877399886,3
NMB496,0.01885923,0.070142501,0.995826852,0.049869057,2
NMB497,0.139953804,0.104202242,0.978055877,0.111116555,2
NMB498,-0.025803903,0.038672664,0.967840552,0.245872619,2
NMB499,0.509059276,0.092975922,0.283417159,0.806456818,3
NMB521,0.372072323,0.069559816,-0.016675267,0.924584945,3
NMB529,0.966099987,0.013122006,-0.182784343,0.179650448,4
NMB530,0.156345475,0.366407172,0.230852144,0.88662258,3
NMB533,0.239695016,0.249919128,-0.026499373,0.936603914,3
NMB534,0.250055048,0.012711774,0.927526689,0.27491914,2
NMB536,0.457489854,0.416256345,0.140623369,0.771248741,3
NMB537,0.12632879,-0.039860587,0.990779866,-0.00965926,2
NMB549,-0.097793523,0.1108305,0.9526396,0.26325528,2
NMB553,0.132368279,0.038542174,0.989744993,0.028552927,2
NMB554,-0.021104095,0.126998175,0.967104225,0.217841304,2
NMB555,0.097585835,-0.022252332,0.994310591,0.026587478,2
NMB568,0.374674557,-0.022703026,0.051230295,0.924633004,3
NMB569,0.10972674,0.076217051,0.133877607,0.981179634,3
NMB580,-0.009875408,0.173819332,0.958182638,0.225590751,2
NMB583,0.991903141,-0.005987045,0.115253124,0.049773269,4
NMB59,-0.15548196,0.274489496,0.898178564,0.302290903,2
NMB591,0.017171181,0.309579688,0.076358663,0.946980206,3
NMB594,0.092851913,0.08307105,0.991811252,0.013580157,2
NMB600,0.114935585,0.067711109,0.103258844,0.985056188,3
NMB608,0.077664961,0.041897931,0.995772791,-0.008288936,2
NMB610,0.08509607,0.229722148,0.013689079,0.968368649,3
NMB612,-0.040786941,0.281708365,0.950830214,0.117799529,2
NMB615,0.281866913,0.315937059,0.183203195,0.88622858,3
NMB618,0.403215199,0.010307921,0.121654691,0.906111477,3
NMB619,0.099881965,0.308872582,0.916271335,0.231266149,2
NMB621,-0.024650807,-0.004469934,0.992582134,0.115597573,2
NMB625,0.13398939,0.142603275,0.790881841,0.578592848,2
NMB626,0.457703437,0.322900856,0.273115422,0.780687121,3
NMB629,0.005245227,0.121325967,0.057587466,0.990274269,3
NMB631,0.202663901,0.127221708,0.207170849,0.947757174,3
NMB632,0.912863856,0.038592525,0.311679348,0.25951583,4
NMB645,0.119047794,0.239361645,0.958540101,0.09026658,2
NMB648,0.525673492,0.11541635,0.241483471,0.80619677,3
NMB649,0.075327722,0.988760117,0.11725972,0.048583216,1
NMB651,0.046176657,0.007756496,0.997666182,0.04400017,2
NMB658,0.164462604,0.158707658,0.283345253,0.930574778,3
NMB662,0.1399428,0.153864094,0.754919234,0.62067,2
NMB669,0.55324083,-0.018555065,0.215495068,0.803503703,3
NMB670,0.089525879,0.168614641,0.975357735,0.107747522,2
NMB671,0.858532763,0.023469107,0.38667534,0.334296581,4
NMB673,-0.020060999,0.112814506,0.974954327,0.18889178,2
NMB674,0.058979749,0.267747846,0.936853342,0.215116455,2
NMB676,0.148367252,0.001439736,0.987741108,-0.041608748,2
NMB679,0.102456383,0.159581678,0.033473882,0.980475793,3
NMB684,0.062844975,0.016394568,0.031751415,0.996640085,3
NMB690,0.028415699,0.058780459,0.997516109,-0.006953461,2
NMB70,0.316774466,0.16998277,0.071133581,0.929470572,3
NMB707,0.015619666,0.99954735,0.018744633,0.002237421,1
NMB708,-0.000131234,0.999808934,0.007267584,0.007572075,1
NMB712,0.082021661,0.094302308,0.990369625,-0.05404644,2
NMB713,0.887535417,0.116008387,-0.105129363,0.43195661,4
NMB715,0.927112849,-0.002120171,0.347029568,0.138123044,4
NMB716,0.979457765,-0.076433111,0.180570709,0.041416054,4
NMB718,0.892497598,0.003315765,0.060847138,0.445637382,4
NMB719,-0.013038661,0.275148038,0.911625221,0.302049926,2
NMB720,0.051581455,0.094648147,0.987887653,0.108946841,2
NMB724,0.180198444,0.081740817,0.874387773,0.441624963,2
NMB730,0.061442704,0.367313658,0.926951252,-0.001521233,2
NMB732,0.055171608,0.994989167,0.07544858,0.029707319,1
NMB738,0.095822415,0.42141712,0.895739887,-0.088140996,2
NMB756,0.137262078,0.094920262,0.983552802,-0.063891459,2
NMB757,0.011217869,0.999393878,-0.00722165,0.027020308,1
NMB759,0.10047798,0.193165461,0.760927723,0.609667928,2
NMB760,0.185513293,0.185965159,0.112179208,0.957558747,3
NMB765,0.006859721,0.983212085,0.093560066,0.155375387,1
NMB769,0.069044723,-0.069128476,-0.000341073,0.994554038,3
NMB781,-0.025455046,0.995804446,0.024565345,0.082421038,1
NMB783,0.068025392,0.081008797,-0.006937932,0.993602078,3
NMB81,0.061882801,0.452237364,0.886870357,0.05435769,2
NMB831,0.028012774,0.999358073,0.013738022,-0.001432655,1
NMB858,0.024685137,0.997676049,0.018430879,0.057942279,1
NMB870,0.024883524,0.997270913,0.060281569,-0.029333384,1
NMB93,0.015975016,0.998139063,0.047904327,0.029777149,1
PNET30009,0.051032958,0.97550767,0.134634187,0.164979764,1
PNET30131,0.041899169,0.984657019,0.118612406,0.118831177,1
PNET30200,0.344323742,0.179633462,0.132983832,0.911024359,3
PNET350080,0.007676696,0.99537143,0.024724891,0.090959216,1
